N;Titulo;Descricao;Tipo atual;Dificuldade;MANTER? (s/n);NOVO TIPO (fixo/sorteio/18+)
1;Tire uma foto espontânea da Larissa (sem ela saber!);Modo paparazzi ativado. Nada de posar — tem que ser flagrante.;fixo;facil;;
2;Grave um vídeo durante os parabéns;Câmera na mão na hora do bolo. Pode cantar junto (desafinado vale).;fixo;facil;;
3;Escreva no livrinho das memórias;Essa é offline: escreva no livrinho e marque como concluída aqui.;fixo;facil;;
4;Tire uma selfie com alguém que você acabou de conhecer hoje;Amizade nova, foto nova.;sorteio;facil;;
5;Grave um conselho de vida de 15 segundos para a Larissa;Pode ser sábio, pode ser péssimo. Só tem que ser sincero.;sorteio;facil;;
6;Faça uma foto criativa com a decoração da festa;Use a decoração como cenário — capriche no ângulo.;sorteio;facil;;
7;Dance 10 segundos de uma música dos anos 2000 e grave;Volta pro auge. Sem vergonha.;sorteio;facil;;
8;Encontre alguém que você não via há mais de 1 ano — tire foto juntos;Reencontro registrado.;sorteio;facil;;
9;Faça uma pose dramática em frente à mesa de doces;Novela das nove, mas com brigadeiro.;sorteio;facil;;
10;Imite uma mania que você acha que a Larissa tem — use a imaginação!;Grave a imitação. Quanto mais exagerado, melhor.;sorteio;facil;;
11;Dance de um jeito que te lembre a Larissa e grave;Interprete a aniversariante em forma de dança.;sorteio;facil;;
12;Monte um grupo de pelo menos 5 pessoas e façam uma pose temática juntos;Escolha um tema e comprometa todo mundo.;sorteio;medio;;
13;Recrie uma foto antiga com a Larissa;Mesma pose, mesma cara. O tempo passou, a foto não.;sorteio;medio;;
14;Faça um brinde em outro idioma (pode ser inventado!);Sotaque conta pontos.;sorteio;medio;;
15;Grave um mini-discurso dramático sobre a importância dos 30 anos;Emoção, pausa, olhar ao longe. Vai.;sorteio;medio;;
16;Adivinhe a música com alguém assobiando — grave o processo;Grave a tentativa, acertando ou não.;sorteio;medio;;
17;Entreviste um convidado que você nunca falou antes;Três perguntas no mínimo. Vale microfone imaginário.;sorteio;medio;;
